                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.4391,                0.46342,                  1.037,                0.83635,                0.55458,                 0.6323,                0.58412,                0.47342,                 0.7765,                 1.0434,               0.007624,               0.007624,               0.007624
                     38,                0.43799,                0.45498,                 1.0336,                0.85294,                0.55566,                0.62843,                0.57976,                0.45823,                0.73061,                 1.0414,               0.007558,               0.007558,               0.007558
                     39,                0.43093,                0.45605,                 1.0295,                0.80339,                0.56366,                0.61842,                0.56877,                0.45963,                0.82773,                 1.0504,               0.007492,               0.007492,               0.007492
                     40,                0.43533,                0.44716,                 1.0294,                0.81327,                0.55755,                0.62252,                0.57701,                0.45174,                0.76289,                 1.0326,               0.007426,               0.007426,               0.007426
                     41,                0.43472,                0.45532,                 1.0324,                0.81498,                0.58568,                0.63705,                0.58424,                0.45044,                0.68946,                 1.0407,                0.00736,                0.00736,                0.00736
                     42,                0.43309,                0.45341,                 1.0335,                0.87575,                0.55021,                0.64897,                0.59814,                0.46307,                0.67242,                 1.0573,               0.007294,               0.007294,               0.007294
                     43,                0.42659,                0.44776,                 1.0287,                0.87339,                 0.5462,                0.63437,                0.58816,                0.45309,                0.69548,                 1.0423,               0.007228,               0.007228,               0.007228
                     44,                0.42405,                0.44643,                 1.0281,                0.87247,                0.54955,                0.61893,                0.57182,                0.45209,                0.74238,                  1.049,               0.007162,               0.007162,               0.007162
                     45,                0.42539,                0.44357,                 1.0254,                 0.8672,                0.55748,                0.64025,                 0.5975,                0.43756,                0.70766,                 1.0303,               0.007096,               0.007096,               0.007096
                     46,                0.42681,                0.44865,                  1.029,                0.87189,                0.53455,                0.62464,                0.57752,                0.45688,                0.74765,                 1.0606,                0.00703,                0.00703,                0.00703
                     47,                0.41953,                 0.4353,                 1.0233,                 0.8291,                0.56678,                0.63875,                0.59705,                0.44434,                0.72807,                 1.0392,               0.006964,               0.006964,               0.006964
                     48,                0.41765,                0.43678,                 1.0228,                0.84916,                0.55269,                0.63626,                0.58966,                0.45217,                0.75176,                 1.0495,               0.006898,               0.006898,               0.006898
                     49,                0.42037,                0.43618,                 1.0223,                 0.8487,                0.55528,                0.62342,                0.57474,                0.44123,                0.72997,                 1.0424,               0.006832,               0.006832,               0.006832
                     50,                0.41352,                0.42724,                 1.0218,                0.83973,                0.54597,                0.62893,                0.58468,                 0.4438,                0.76058,                   1.05,               0.006766,               0.006766,               0.006766
                     51,                0.41411,                0.42747,                  1.021,                 0.8374,                0.56427,                0.62554,                0.58167,                0.44104,                0.77778,                 1.0441,                 0.0067,                 0.0067,                 0.0067
                     52,                0.41287,                0.42456,                 1.0226,                0.89206,                0.54633,                0.63864,                0.59333,                0.45375,                0.73649,                 1.0553,               0.006634,               0.006634,               0.006634
                     53,                0.41303,                0.42359,                  1.022,                0.85102,                0.55527,                0.63837,                0.59712,                0.44363,                0.76647,                 1.0447,               0.006568,               0.006568,               0.006568
                     54,                0.40882,                0.41677,                 1.0184,                 0.8293,                0.56423,                0.63101,                0.58717,                0.43681,                0.76257,                 1.0412,               0.006502,               0.006502,               0.006502
                     55,                 0.4066,                0.42053,                 1.0167,                0.90288,                0.54902,                0.65169,                0.60737,                0.43113,                 0.7176,                 1.0333,               0.006436,               0.006436,               0.006436
                     56,                0.40612,                0.41474,                 1.0173,                0.86852,                0.54479,                0.64476,                0.59958,                0.44124,                0.73786,                 1.0465,                0.00637,                0.00637,                0.00637
                     57,                0.40436,                 0.4134,                  1.017,                0.84927,                0.56861,                0.64626,                0.60413,                0.42187,                 0.7387,                 1.0226,               0.006304,               0.006304,               0.006304
                     58,                   0.41,                0.41131,                 1.0184,                0.87159,                  0.548,                0.64302,                0.59963,                0.42574,                0.69604,                 1.0259,               0.006238,               0.006238,               0.006238
                     59,                0.40038,                0.40597,                 1.0163,                0.86582,                0.56125,                0.64573,                0.60197,                0.41455,                0.69042,                 1.0147,               0.006172,               0.006172,               0.006172
                     60,                0.39638,                0.40028,                 1.0103,                 0.8688,                0.56343,                0.64444,                 0.6034,                0.40529,                0.64273,                  1.001,               0.006106,               0.006106,               0.006106
                     61,                 0.3993,                0.39698,                  1.012,                0.83577,                0.57289,                 0.6351,                0.59981,                0.40605,                0.73707,                 1.0001,                0.00604,                0.00604,                0.00604
                     62,                0.39185,                0.39551,                  1.008,                0.87981,                0.54256,                0.62754,                0.58836,                 0.4168,                0.75938,                 1.0123,               0.005974,               0.005974,               0.005974
                     63,                0.39254,                0.39347,                 1.0117,                0.85337,                0.55762,                0.63616,                0.59554,                0.42237,                0.72643,                 1.0213,               0.005908,               0.005908,               0.005908
                     64,                0.38971,                0.38328,                 1.0064,                0.88366,                0.54781,                0.64502,                0.60366,                0.41884,                0.72034,                 1.0228,               0.005842,               0.005842,               0.005842
                     65,                0.39187,                0.38069,                 1.0066,                0.83052,                 0.5723,                 0.6398,                0.59746,                0.41058,                0.72197,                 1.0117,               0.005776,               0.005776,               0.005776
                     66,                 0.3898,                0.38909,                 1.0064,                0.85464,                0.56326,                0.64045,                 0.6007,                0.42067,                0.71278,                 1.0106,                0.00571,                0.00571,                0.00571
                     67,                0.38783,                0.38762,                 1.0066,                0.88528,                0.55526,                0.64362,                0.59898,                0.42955,                0.71064,                 1.0377,               0.005644,               0.005644,               0.005644
                     68,                0.38211,                0.38294,                 1.0075,                0.87646,                0.55805,                0.63894,                0.59684,                0.41674,                0.71309,                 1.0235,               0.005578,               0.005578,               0.005578
                     69,                0.38397,                0.37943,                 1.0036,                0.87886,                0.55601,                 0.6485,                0.60197,                0.41703,                0.72424,                 1.0131,               0.005512,               0.005512,               0.005512
                     70,                0.38353,                0.38033,                 1.0036,                0.88355,                0.55118,                0.64572,                0.60525,                0.39983,                0.72391,                0.99551,               0.005446,               0.005446,               0.005446
                     71,                0.38426,                0.38062,                 1.0052,                0.88183,                0.56196,                0.65074,                0.61215,                0.40297,                0.69856,                 1.0026,                0.00538,                0.00538,                0.00538
                     72,                0.38001,                 0.3802,                  1.003,                0.89007,                0.55103,                0.65428,                0.61164,                0.40851,                0.70686,                 1.0059,               0.005314,               0.005314,               0.005314
                     73,                0.37957,                0.36712,                 1.0012,                0.85872,                0.57051,                0.64883,                0.60851,                0.39832,                0.68678,                 1.0041,               0.005248,               0.005248,               0.005248
                     74,                0.37738,                0.36382,                 1.0017,                 0.8738,                0.55766,                 0.6563,                0.61257,                0.40213,                0.67447,                 1.0066,               0.005182,               0.005182,               0.005182
                     75,                0.37522,                0.36155,                0.99782,                0.84732,                0.56797,                0.65219,                0.60805,                0.42005,                0.68337,                 1.0218,               0.005116,               0.005116,               0.005116
                     76,                0.37601,                0.36711,                 1.0024,                0.85836,                0.55632,                0.65709,                  0.613,                 0.4061,                0.68968,                 1.0043,                0.00505,                0.00505,                0.00505
                     77,                0.37437,                0.36401,                 1.0009,                0.89113,                0.55778,                0.64804,                0.60478,                0.39938,                0.70346,                      1,               0.004984,               0.004984,               0.004984
                     78,                0.37051,                0.35741,                0.99889,                0.88639,                0.55914,                0.64844,                0.60847,                0.39055,                0.74902,                0.99626,               0.004918,               0.004918,               0.004918
                     79,                0.36712,                0.35561,                 0.9926,                0.87633,                0.56555,                  0.649,                0.61017,                0.39154,                0.71985,                0.99699,               0.004852,               0.004852,               0.004852
                     80,                0.36835,                0.35408,                0.99673,                0.86955,                0.56036,                0.64327,                0.60438,                0.39633,                0.73939,                 1.0014,               0.004786,               0.004786,               0.004786
                     81,                0.36431,                0.34932,                0.99403,                 0.8604,                0.55828,                0.63911,                0.59805,                0.39513,                0.74449,                 1.0064,                0.00472,                0.00472,                0.00472
                     82,                0.36068,                0.35302,                0.99114,                0.84628,                0.55931,                0.64764,                0.60776,                0.38525,                0.73409,                0.99628,               0.004654,               0.004654,               0.004654
                     83,                0.36139,                0.35238,                0.99559,                0.86099,                0.56035,                0.64562,                0.60501,                0.39756,                 0.7158,                 1.0051,               0.004588,               0.004588,               0.004588
                     84,                0.35453,                0.33576,                0.98624,                0.88008,                 0.5504,                0.64615,                0.60622,                0.39302,                0.71818,                  1.004,               0.004522,               0.004522,               0.004522
                     85,                0.36156,                0.34201,                 0.9933,                0.85716,                0.56388,                0.64977,                0.61208,                0.38733,                0.73046,                0.99826,               0.004456,               0.004456,               0.004456
                     86,                0.35953,                0.33986,                0.99376,                 0.8621,                0.56408,                0.64254,                0.60488,                0.38963,                0.72816,                0.99411,                0.00439,                0.00439,                0.00439
