Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
1,0.8735113029630439,0.9898352480338265,71.52650822669104,73.09322033898304,0.728061422015806,0.6955545027701547,0.6841443014063416,0.05673681813732734
2,0.39736680129488694,0.7802217580222836,86.63924436319317,81.35593220338983,0.8278402971107252,0.7966305291988718,0.8010569662994054,0.05665147173809995
3,0.2846038648225729,0.6958316785283387,90.49360146252285,78.8135593220339,0.8162169664168096,0.7908125929113757,0.792241838327458,0.05712727481556878
4,0.21533596451457554,0.6982153695542366,92.65691651432054,81.77966101694915,0.8124398990678509,0.8128030514449697,0.8088570377644909,0.05726756502847778
5,0.17273905135474157,0.8423513032491124,94.02803168799512,86.86440677966101,0.8590721128238084,0.864258569241558,0.8593210519417686,0.057194716872969495
6,0.16634843804086874,0.950136615584294,94.56124314442413,81.77966101694915,0.8194950700469896,0.803432648986993,0.8043982685639501,0.053758057741063466
7,0.18626139697266145,0.7673547168805575,93.860450944546,84.95762711864407,0.8550056693123458,0.8504873134881371,0.8488861594069204,0.05795098477441908
8,0.14701593787300862,0.6224222429717581,95.18586227909812,85.80508474576271,0.8550048859272388,0.8491408451635056,0.8489066294537744,0.05664640574306367
9,0.10239653237552825,0.9278778212144971,96.66361974405851,83.05084745762711,0.8439716941649565,0.8393254399512539,0.8298902682755586,0.06314625181038871
10,0.12792721391854428,1.012943111003066,96.13040828762949,81.5677966101695,0.8242356392259715,0.8238026352083639,0.8163927968469259,0.05839578216322168
11,0.13823703491553954,0.6759517132459829,95.79524680073126,86.44067796610169,0.856844111072604,0.8517704929628059,0.8518410613231776,0.058131109040941875
12,0.11483379000418105,0.7185542035721786,96.57221206581353,84.7457627118644,0.8335499407477781,0.8457271433661205,0.8376914385522657,0.054882394425322084
13,0.11696358368894791,0.9234931518537147,96.31322364411943,84.11016949152543,0.8285754128548757,0.8384818463450547,0.824215224391855,0.0515536926778105
14,0.07837307439592567,0.782105850991987,97.62340036563072,86.86440677966101,0.8512407287059016,0.8669370473960878,0.8544247455093488,0.057861600071116966
15,0.06782891085310341,0.861479667298651,97.80621572212065,84.53389830508475,0.8210351607130092,0.8374604637444563,0.8225295459283631,0.05662227160390237
16,0.08709747136092419,0.9216132122382987,97.07495429616088,83.26271186440678,0.8312794630622652,0.845756311777808,0.8342788654417074,0.06033496452752178
17,0.09339877187180586,0.9203401608501129,97.27300426569165,82.20338983050847,0.8368191557245783,0.8354980737648549,0.8256809690301669,0.05641774357237858
18,0.07785128010323868,0.8764214252238768,97.47105423522243,85.59322033898304,0.8461009158546378,0.8540465163375454,0.8478803901065688,0.06137858317670737
19,0.08889192884654548,1.1654111684280604,97.37964655697745,82.20338983050847,0.8251452600075887,0.8185189529676161,0.8134254675024571,0.05508661410780401
20,0.11188236431323796,0.9795604055766792,96.29798903107861,85.38135593220339,0.8435751276660368,0.8385208861740888,0.8345279577010198,0.0574733355867123
21,0.08345903990082713,0.7582603692984776,97.19683120048751,86.86440677966101,0.8551936521883331,0.8614506311720649,0.8550042575050161,0.05486881371697054
22,0.07122186771978271,0.8749290459682622,97.775746496039,83.6864406779661,0.8356708954684747,0.8481378921260643,0.8375562446973182,0.05580240228954644
23,0.10567902309539755,0.831679605145473,96.7702620353443,86.44067796610169,0.8554195074951054,0.852205894386361,0.8505615416896269,0.054916534686899006
