Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
1,1.7745318135011543,1.7376276810963949,35.08531383302864,35.80508474576271,0.30132970545316123,0.3558341792805549,0.31297219715758795,0.08196734939041958
2,1.8711826402006797,2.001711984475454,31.672760511883,27.966101694915253,0.2637440755430048,0.29744148873672277,0.2409769213432621,0.07444439111989104
3,1.8619609556151826,1.8142499208450318,31.61182205971968,34.74576271186441,0.26784370101044136,0.3583618485031797,0.29631632486397497,0.09608236140466303
4,1.8603650152104572,1.902179761727651,32.03839122486289,31.991525423728813,0.2501544643040244,0.3553808597522114,0.2808181521649251,0.09545987486277616
5,1.828501798574207,2.115471029281616,32.22120658135283,23.093220338983052,0.22495441499205795,0.2597880459840577,0.1949836205018183,0.06964987432109064
