                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60069,                 1.2851,                 1.1615,                0.55704,                0.42087,                0.45261,                0.35533,                0.84275,                 1.4891,                 1.4636,             0.00022179,             0.00022179,             0.00022179
                      2,                0.67479,                    1.3,                 1.2183,                0.66257,                0.48106,                 0.5092,                0.41345,                0.73796,                 1.2067,                 1.3191,             0.00029756,             0.00029756,             0.00029756
                      3,                0.61637,                 1.0977,                 1.1719,                0.72267,                0.50885,                0.53518,                0.45078,                0.63164,                0.99394,                 1.2023,              0.0002266,              0.0002266,              0.0002266
