                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.56475,                0.79268,                 1.1159,                0.78779,                 0.5216,                0.57951,                0.50842,                0.59419,                0.84777,                 1.1593,              0.0086932,              0.0086932,              0.0086932
                     36,                0.55967,                 0.7862,                 1.1148,                0.82238,                0.52698,                0.58869,                0.51816,                0.57691,                0.80097,                 1.1383,              0.0086536,              0.0086536,              0.0086536
                     37,                0.56178,                 0.7753,                 1.1102,                0.86767,                0.50909,                0.59497,                0.52947,                0.54848,                0.77801,                 1.1202,               0.008614,               0.008614,               0.008614
                     38,                0.55348,                0.76931,                 1.1063,                0.75362,                0.55338,                0.58661,                0.51792,                0.55636,                0.78464,                 1.1301,              0.0085744,              0.0085744,              0.0085744
                     39,                0.55098,                0.75821,                 1.1044,                0.85875,                0.50623,                0.59044,                0.52455,                0.54079,                0.82252,                 1.1082,              0.0085348,              0.0085348,              0.0085348
                     40,                0.54724,                0.75197,                 1.1069,                0.80968,                0.51971,                0.58233,                0.52203,                0.53929,                0.80577,                 1.1187,              0.0084952,              0.0084952,              0.0084952
                     41,                 0.5486,                0.74274,                 1.1019,                0.80244,                0.52244,                0.58259,                0.52481,                 0.5205,                0.76955,                   1.09,              0.0084556,              0.0084556,              0.0084556
                     42,                 0.5453,                0.73558,                 1.1043,                0.82963,                0.52597,                0.58876,                0.52091,                0.52915,                0.77239,                  1.097,               0.008416,               0.008416,               0.008416
                     43,                0.53983,                0.72622,                 1.0988,                 0.7975,                0.53718,                0.58153,                0.52441,                0.52409,                 0.7707,                  1.104,              0.0083764,              0.0083764,              0.0083764
                     44,                 0.5333,                0.72088,                 1.0922,                0.82911,                0.53193,                 0.5986,                0.53791,                 0.5212,                0.77989,                  1.098,              0.0083368,              0.0083368,              0.0083368
                     45,                0.53389,                0.71676,                 1.0986,                0.83734,                0.52873,                0.58946,                0.53136,                0.53403,                0.80579,                 1.1005,              0.0082972,              0.0082972,              0.0082972
                     46,                0.53253,                0.71429,                  1.094,                0.85706,                0.52881,                0.59114,                0.53182,                0.51477,                0.74226,                 1.0826,              0.0082576,              0.0082576,              0.0082576
                     47,                0.52859,                0.69195,                 1.0955,                0.83044,                0.52557,                0.58765,                0.52914,                0.52469,                0.81122,                 1.0942,               0.008218,               0.008218,               0.008218
                     48,                0.53176,                0.70084,                 1.0965,                0.82892,                0.53353,                0.59876,                0.53984,                0.52406,                0.79556,                 1.0926,              0.0081784,              0.0081784,              0.0081784
                     49,                  0.526,                0.68902,                 1.0904,                0.81154,                0.54248,                0.58674,                0.53004,                0.51603,                 0.7728,                 1.0839,              0.0081388,              0.0081388,              0.0081388
                     50,                0.52227,                0.68941,                   1.09,                0.79526,                0.55471,                0.59972,                 0.5413,                0.52107,                0.79296,                 1.0794,              0.0080992,              0.0080992,              0.0080992
                     51,                0.52351,                 0.6705,                 1.0862,                0.81061,                0.54098,                0.59005,                0.53346,                0.52554,                0.77515,                 1.0921,              0.0080596,              0.0080596,              0.0080596
                     52,                0.52039,                0.68307,                   1.09,                0.84345,                0.53242,                0.58973,                0.53262,                0.50703,                0.76639,                 1.0808,                0.00802,                0.00802,                0.00802
                     53,                0.51793,                0.66053,                 1.0833,                0.85965,                0.51968,                0.59481,                0.54076,                0.50423,                0.77407,                   1.07,              0.0079804,              0.0079804,              0.0079804
                     54,                0.51951,                0.66533,                 1.0857,                0.83083,                0.51725,                0.58263,                0.52744,                0.50633,                0.82028,                 1.0781,              0.0079408,              0.0079408,              0.0079408
                     55,                0.51347,                0.66632,                  1.085,                0.82596,                0.52327,                0.59146,                0.53683,                  0.517,                0.82563,                 1.0796,              0.0079012,              0.0079012,              0.0079012
                     56,                0.51826,                0.65225,                 1.0819,                0.84117,                0.53054,                0.60162,                0.54286,                0.50366,                0.79666,                 1.0786,              0.0078616,              0.0078616,              0.0078616
                     57,                0.50832,                 0.6608,                 1.0809,                0.86764,                0.52813,                0.60297,                0.54785,                0.49633,                0.76907,                 1.0681,               0.007822,               0.007822,               0.007822
                     58,                0.51261,                0.64372,                 1.0801,                0.82184,                0.53767,                0.61136,                0.56009,                0.47914,                0.82456,                 1.0525,              0.0077824,              0.0077824,              0.0077824
                     59,                0.51058,                0.64636,                 1.0826,                0.85834,                0.53592,                0.60601,                0.55353,                0.47257,                0.76533,                 1.0561,              0.0077428,              0.0077428,              0.0077428
                     60,                0.50515,                0.63164,                 1.0781,                 0.8304,                0.54108,                0.60267,                0.54969,                0.48767,                0.76243,                 1.0597,              0.0077032,              0.0077032,              0.0077032
                     61,                0.50908,                0.63108,                 1.0804,                0.85612,                0.53392,                0.60647,                0.55589,                0.47617,                0.74605,                 1.0599,              0.0076636,              0.0076636,              0.0076636
                     62,                 0.5072,                0.62807,                 1.0772,                0.84405,                0.54386,                0.61462,                0.56233,                0.47679,                 0.7332,                 1.0575,               0.007624,               0.007624,               0.007624
                     63,                0.49716,                0.61999,                 1.0674,                0.87739,                0.52897,                0.61317,                0.56119,                0.47898,                0.74658,                 1.0553,              0.0075844,              0.0075844,              0.0075844
                     64,                0.50251,                0.61978,                 1.0774,                0.84088,                0.54516,                0.59982,                0.54528,                0.48693,                0.76016,                 1.0617,              0.0075448,              0.0075448,              0.0075448
                     65,                0.50133,                0.62466,                 1.0762,                0.85595,                0.53488,                0.60558,                0.55127,                 0.4828,                0.73637,                   1.06,              0.0075052,              0.0075052,              0.0075052
                     66,                0.49017,                0.60319,                 1.0682,                0.82207,                 0.5486,                0.60619,                0.55895,                0.49087,                0.73151,                 1.0602,              0.0074656,              0.0074656,              0.0074656
                     67,                0.49689,                0.62779,                  1.073,                0.82973,                0.53224,                0.60232,                0.55089,                0.47295,                  0.734,                 1.0462,               0.007426,               0.007426,               0.007426
                     68,                0.49112,                0.60924,                 1.0671,                0.86307,                 0.5386,                0.61174,                0.56444,                0.46733,                0.76537,                 1.0537,              0.0073864,              0.0073864,              0.0073864
                     69,                0.49203,                0.59977,                 1.0647,                0.83812,                0.54994,                0.61059,                0.56509,                0.46451,                0.77518,                 1.0427,              0.0073468,              0.0073468,              0.0073468
                     70,                0.48509,                0.58981,                 1.0645,                0.85803,                0.53956,                0.61745,                0.56553,                0.47813,                0.78122,                 1.0504,              0.0073072,              0.0073072,              0.0073072
                     71,                0.48264,                0.57914,                 1.0631,                0.85671,                0.53441,                0.60242,                0.55654,                0.45241,                0.74395,                 1.0349,              0.0072676,              0.0072676,              0.0072676
                     72,                0.48729,                0.58215,                 1.0655,                0.84524,                0.55183,                0.62017,                0.57333,                  0.464,                0.73807,                 1.0441,               0.007228,               0.007228,               0.007228
                     73,                 0.4815,                0.58563,                 1.0606,                0.82738,                 0.5538,                0.61407,                0.56828,                0.45091,                0.74423,                 1.0359,              0.0071884,              0.0071884,              0.0071884
                     74,                0.48395,                0.58509,                 1.0657,                0.85808,                  0.543,                0.61846,                0.57374,                0.45022,                0.75312,                 1.0287,              0.0071488,              0.0071488,              0.0071488
                     75,                0.48029,                0.57479,                 1.0601,                0.84952,                0.54343,                0.60868,                0.56335,                0.45854,                0.78397,                 1.0356,              0.0071092,              0.0071092,              0.0071092
                     76,                0.47843,                0.57357,                 1.0598,                0.87039,                0.53859,                0.60956,                0.56594,                0.46139,                0.76185,                 1.0462,              0.0070696,              0.0070696,              0.0070696
                     77,                0.48412,                  0.579,                 1.0649,                0.86944,                 0.5345,                0.61218,                 0.5664,                0.46535,                0.76725,                 1.0466,                0.00703,                0.00703,                0.00703
                     78,                0.47339,                 0.5605,                 1.0591,                0.87115,                0.52699,                0.61085,                0.56856,                0.44777,                 0.7606,                  1.034,              0.0069904,              0.0069904,              0.0069904
                     79,                0.48241,                0.57111,                 1.0642,                0.83479,                0.55089,                0.61128,                0.56747,                0.44829,                0.76617,                 1.0276,              0.0069508,              0.0069508,              0.0069508
                     80,                0.47769,                0.55919,                 1.0576,                0.84467,                0.54464,                0.60996,                0.56979,                0.45816,                 0.7784,                 1.0416,              0.0069112,              0.0069112,              0.0069112
                     81,                0.47762,                0.56276,                 1.0587,                0.87251,                0.54115,                0.61384,                0.57202,                 0.4557,                0.75016,                 1.0373,              0.0068716,              0.0068716,              0.0068716
                     82,                0.47065,                0.56158,                 1.0574,                0.87103,                0.53346,                0.61159,                0.56996,                0.45383,                0.77202,                  1.032,               0.006832,               0.006832,               0.006832
                     83,                0.47152,                0.55624,                 1.0543,                 0.8694,                0.53565,                0.60957,                0.56791,                0.44656,                0.79302,                 1.0234,              0.0067924,              0.0067924,              0.0067924
                     84,                0.47337,                0.55501,                 1.0564,                 0.8483,                0.54215,                 0.6107,                0.56874,                0.45027,                0.77727,                 1.0255,              0.0067528,              0.0067528,              0.0067528
                     85,                0.47323,                0.55591,                 1.0579,                0.80686,                0.55697,                0.60858,                0.56799,                0.44082,                0.76677,                 1.0225,              0.0067132,              0.0067132,              0.0067132
                     86,                0.46345,                0.53064,                  1.049,                0.85798,                0.54269,                0.61207,                 0.5709,                0.44585,                0.78798,                 1.0229,              0.0066736,              0.0066736,              0.0066736
                     87,                0.46141,                0.54771,                 1.0508,                 0.8503,                0.53994,                0.61113,                 0.5715,                0.43798,                0.76338,                 1.0171,               0.006634,               0.006634,               0.006634
                     88,                0.46942,                0.54056,                 1.0547,                0.83995,                0.54783,                0.60762,                0.56637,                0.43635,                0.75078,                 1.0183,              0.0065944,              0.0065944,              0.0065944
                     89,                0.45822,                0.54518,                  1.049,                0.84673,                0.54895,                0.61162,                0.56561,                0.44471,                 0.7369,                 1.0171,              0.0065548,              0.0065548,              0.0065548
