                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.27395,                0.23838,                0.94412,                0.86268,                0.56332,                0.66036,                0.62832,                0.37604,                0.75703,                0.98627,              0.0033252,              0.0033252,              0.0033252
                      2,                0.30289,                0.26786,                0.95498,                0.84488,                0.55971,                0.65021,                0.61461,                0.40935,                0.77826,                 1.0129,              0.0066256,              0.0066256,              0.0066256
                      3,                0.35144,                0.32859,                0.97884,                0.76709,                0.54031,                0.58323,                0.52444,                0.53698,                0.93222,                 1.1302,               0.009893,               0.009893,               0.009893
